iteration,current_objective,best_objective,current_total_weight
290,3953,5466,2370
291,4206,5466,2403
292,3515,5466,2023
293,3174,5466,2333
294,1964,5466,2028
295,2105,5466,2438
296,2105,5466,2438
297,1340,5466,2089
298,1724,5466,2536
299,2258,5466,2491
300,2258,5466,2491
301,1637,5466,2377
302,2104,5466,2007
303,2529,5466,2456
304,2345,5466,2295
305,2701,5466,2487
306,2621,5466,2456
307,2904,5466,2131
308,3799,5466,2534
309,2616,5466,2440
310,2616,5466,2440
311,3492,5466,2461
312,2862,5466,2503
313,3057,5466,2508
314,3057,5466,2508
315,3057,5466,2508
316,3057,5466,2508
317,3534,5466,2542
318,3268,5466,2484
319,3268,5466,2484
320,2791,5466,2450
321,3329,5466,2509
322,3724,5466,2424
323,3529,5466,2419
324,3665,5466,2363
325,2551,5466,2198
326,3001,5466,2148
327,2903,5466,2247
328,2512,5466,2532
329,2512,5466,2532
330,2512,5466,2532
331,2482,5466,1779
332,2788,5466,2293
333,3219,5466,2170
334,3219,5466,2170
335,2640,5466,2175
336,3013,5466,2430
337,2787,5466,2446
338,2383,5466,2223
339,3230,5466,1836
340,3867,5466,2439
341,3720,5466,2168
342,3083,5466,1565
343,3689,5466,1878
344,4542,5466,2268
345,4986,5466,2375
346,4380,5466,2062
347,3886,5466,2187
348,3886,5466,2187
349,4009,5466,2521
350,2566,5466,2261
351,2761,5466,2266
352,2223,5466,1995
353,3079,5466,2066
354,3504,5466,2365
355,3309,5466,2360
356,3874,5466,2503
357,3632,5466,2484
358,3632,5466,2484
359,3498,5466,2542
360,2712,5466,2463
361,3568,5466,2534
362,3568,5466,2534
363,3637,5466,1835
364,4580,5466,2246
365,4580,5466,2246
366,4580,5466,2246
367,4525,5466,2159
368,4080,5466,2334
369,4716,5466,2425
370,4716,5466,2425
371,3822,5466,2295
372,3671,5466,2172
373,3671,5466,2172
374,3671,5466,2172
375,3679,5466,2389
376,3679,5466,2389
377,3570,5466,1751
378,3857,5466,2050
379,4033,5466,2131
380,4105,5466,2347
381,4105,5466,2347
382,5038,5466,2491
383,5038,5466,2491
384,5038,5466,2491
385,4586,5466,2054
386,3929,5466,2464
387,3346,5466,2040
388,3547,5466,2518
389,2754,5466,2293
390,2070,5466,2537
391,2634,5466,2395
392,1590,5466,2284
393,1590,5466,2284
394,1440,5466,1726
395,1520,5466,1872
396,2442,5466,2468
397,2721,5466,1790
398,3152,5466,2434
399,3152,5466,2434
400,3222,5466,2096
401,3363,5466,2506
402,3198,5466,2240
403,3574,5466,2383
404,4215,5466,2429
405,3566,5466,2341
406,3772,5466,2277
407,3772,5466,2277
408,3875,5466,2504
409,3649,5466,2239
410,4403,5466,2395
411,4256,5466,2513
412,4256,5466,2513
413,4256,5466,2513
414,2875,5466,2471
415,2789,5466,2425
416,2789,5466,2425
417,2856,5466,2371
418,2673,5466,1998
419,2898,5466,2084
420,3636,5466,2180
421,3509,5466,2163
422,3509,5466,2163
423,3753,5466,2513
424,3469,5466,2352
425,3469,5466,2352
426,3469,5466,2352
427,3469,5466,2352
428,2975,5466,2511
429,2394,5466,2063
430,2117,5466,2185
431,1931,5466,1859
432,1860,5466,1915
433,2221,5466,2025
434,2368,5466,1754
435,2910,5466,2539
436,2472,5466,2245
437,2894,5466,2497
438,2894,5466,2497
439,2894,5466,2497
440,2074,5466,2507
441,2115,5466,2339
442,2315,5466,2365
443,2315,5466,2365
444,2665,5466,2377
445,2543,5466,1682
446,2937,5466,1872
447,2937,5466,1872
448,2946,5466,2012
449,2334,5466,2339
450,3295,5466,2496
451,2971,5466,1946
452,3554,5466,2205
453,3612,5466,2418
454,4069,5466,2461
455,4069,5466,2461
456,4069,5466,2461
457,3686,5466,2443
458,2096,5466,2461
459,2096,5466,2461
460,2082,5466,2520
461,2082,5466,2520
462,1635,5466,1918
463,2460,5466,2340
464,3458,5466,2521
465,3230,5466,2422
466,3230,5466,2422
467,3164,5466,2449
468,1407,5466,1819
469,1839,5466,2007
470,2534,5466,2216
471,1407,5466,1819
472,1486,5466,1907
473,2419,5466,2051
474,2340,5466,1963
475,3337,5466,2162
476,3337,5466,2162
477,3417,5466,2216
478,3025,5466,2233
479,2568,5466,2190
480,2568,5466,2190
481,2957,5466,2514
482,3460,5466,2449
483,3460,5466,2449
484,1883,5466,2180
485,2364,5466,2407
486,2364,5466,2407
487,2364,5466,2407
488,2364,5466,2407
489,2716,5466,1784
490,3470,5466,1940
491,3448,5466,2136
492,3864,5466,2384
493,3864,5466,2384
494,4423,5466,2034
495,4423,5466,2034
496,4310,5466,2534
497,4310,5466,2534
498,4310,5466,2534
499,4182,5466,2356
500,4649,5466,2472
501,3975,5466,2297
502,3212,5466,2171
503,4166,5466,2197
504,4596,5466,2298
505,4699,5466,2102
506,5118,5466,2247
507,5118,5466,2247
508,5118,5466,2247
509,3607,5466,2320
510,4039,5466,2508
511,3175,5466,2482
512,3309,5466,2154
513,3309,5466,2154
514,3562,5466,2187
515,3562,5466,2187
516,3158,5466,2256
517,3158,5466,2256
518,3158,5466,2256
519,3741,5466,2515
520,3322,5466,2370
521,3322,5466,2370
522,3799,5466,2404
523,3799,5466,2404
524,3799,5466,2404
525,3916,5466,2502
526,3916,5466,2502
527,3916,5466,2502
528,4250,5466,2491
