iteration,current_objective,best_objective
400,4034,5232
401,3234,5232
402,3234,5232
403,3234,5232
404,3145,5232
405,3504,5232
406,3504,5232
407,2671,5232
408,2719,5232
409,1955,5232
410,1087,5232
411,1087,5232
412,1764,5232
413,1764,5232
414,1764,5232
415,2372,5232
416,2372,5232
417,2625,5232
418,2625,5232
419,2227,5232
420,1463,5232
421,1656,5232
422,1127,5232
423,1127,5232
424,1127,5232
425,1720,5232
426,1720,5232
427,1599,5232
428,1576,5232
429,2053,5232
430,2754,5232
431,2383,5232
432,3294,5232
433,3935,5232
434,2913,5232
435,2913,5232
436,2913,5232
437,2913,5232
438,2913,5232
439,2367,5232
440,2367,5232
441,1961,5232
442,1990,5232
443,1990,5232
444,1440,5232
445,1624,5232
446,2467,5232
447,3176,5232
448,3176,5232
449,2751,5232
450,3593,5232
451,3593,5232
452,3593,5232
453,3593,5232
454,3705,5232
455,4365,5232
456,4365,5232
457,5010,5232
458,5980,5980
459,5980,5980
460,5980,5980
461,4926,5980
462,4679,5980
463,3836,5980
464,4674,5980
465,4601,5980
466,4601,5980
467,4756,5980
468,4499,5980
469,4396,5980
470,3156,5980
471,3557,5980
472,3291,5980
473,3648,5980
474,2713,5980
475,2860,5980
476,3586,5980
477,3586,5980
478,4460,5980
479,4686,5980
480,4686,5980
481,4686,5980
482,5148,5980
483,5148,5980
484,5377,5980
485,5723,5980
486,4805,5980
487,3665,5980
488,3270,5980
489,2432,5980
490,2432,5980
491,3306,5980
492,2808,5980
493,3771,5980
494,3497,5980
495,3497,5980
496,3499,5980
497,3971,5980
498,3971,5980
499,3971,5980
500,3971,5980
501,3971,5980
502,3356,5980
503,3356,5980
504,3509,5980
505,3509,5980
506,3509,5980
507,3509,5980
508,3102,5980
509,3102,5980
510,3102,5980
511,3193,5980
512,3193,5980
513,2612,5980
514,3253,5980
515,2804,5980
516,2844,5980
517,3280,5980
518,3236,5980
519,4179,5980
520,4179,5980
521,4179,5980
522,4179,5980
523,4179,5980
524,4179,5980
525,4174,5980
526,4174,5980
527,4378,5980
528,3580,5980
529,3580,5980
530,3580,5980
531,3580,5980
532,4164,5980
533,4164,5980
534,4164,5980
535,4163,5980
536,4163,5980
537,4163,5980
538,3828,5980
539,4820,5980
540,4217,5980
541,4217,5980
542,3688,5980
543,3688,5980
544,3986,5980
545,3494,5980
546,4240,5980
547,4124,5980
548,3618,5980
549,3986,5980
550,3986,5980
551,4940,5980
552,4940,5980
553,5275,5980
554,5275,5980
555,5275,5980
556,5268,5980
557,5365,5980
558,5365,5980
559,5809,5980
560,5809,5980
561,6721,6721
562,7286,7286
563,6951,7286
564,6951,7286
565,6951,7286
566,6951,7286
567,7903,7903
568,6623,7903
569,6623,7903
570,6623,7903
571,6623,7903
572,6598,7903
573,5155,7903
574,5155,7903
575,5155,7903
576,5155,7903
577,5560,7903
578,5560,7903
579,5560,7903
580,5560,7903
581,5560,7903
582,5560,7903
583,5560,7903
584,5170,7903
585,5284,7903
586,5284,7903
587,5550,7903
588,5550,7903
589,5550,7903
590,5835,7903
591,6535,7903
592,6535,7903
593,6035,7903
594,6475,7903
595,6057,7903
596,6057,7903
597,6057,7903
598,7000,7903
599,7952,7952
600,7952,7952
601,7952,7952
602,7952,7952
603,7952,7952
604,7952,7952
605,7952,7952
606,7952,7952
607,7952,7952
608,7866,7952
609,7866,7952
610,8119,8119
611,8316,8316
612,8316,8316
613,8316,8316
614,8316,8316
615,7052,8316
616,7052,8316
617,7052,8316
618,7052,8316
619,7052,8316
620,7052,8316
621,7052,8316
622,7047,8316
623,7047,8316
624,7621,8316
625,7621,8316
626,7621,8316
627,7621,8316
628,7553,8316
629,7553,8316
630,7430,8316
631,7849,8316
632,7849,8316
633,7366,8316
634,7366,8316
635,7366,8316
636,7366,8316
637,7691,8316
638,7782,8316
639,7085,8316
640,7085,8316
641,7085,8316
642,7085,8316
643,7085,8316
644,7811,8316
645,7811,8316
646,8518,8518
647,8518,8518
648,8518,8518
649,8646,8646
650,8646,8646
651,8646,8646
652,8646,8646
653,8646,8646
654,8646,8646
655,8664,8664
656,8664,8664
657,8664,8664
658,9141,9141
659,9141,9141
660,9160,9160
661,9160,9160
662,9592,9592
663,9592,9592
664,9592,9592
665,9592,9592
666,9601,9601
667,9601,9601
668,9601,9601
669,9601,9601
670,9601,9601
671,9601,9601
672,9601,9601
673,9601,9601
674,9601,9601
675,9601,9601
676,9601,9601
677,9601,9601
678,9601,9601
679,9601,9601
680,9601,9601
681,9601,9601
682,9601,9601
683,9601,9601
684,9601,9601
685,9601,9601
686,9601,9601
687,9001,9601
688,9001,9601
689,9001,9601
690,9001,9601
691,9001,9601
692,9001,9601
693,9001,9601
694,9267,9601
695,9267,9601
696,9267,9601
697,9267,9601
698,9267,9601
699,9267,9601
700,9267,9601
701,9267,9601
702,9267,9601
703,9267,9601
704,9267,9601
705,9267,9601
706,9267,9601
707,9267,9601
708,9267,9601
709,9258,9601
710,9375,9601
711,9375,9601
712,9700,9700
713,9764,9764
714,9764,9764
715,9764,9764
716,9764,9764
717,9764,9764
718,10386,10386
719,10386,10386
720,10386,10386
721,9927,10386
722,9927,10386
723,9927,10386
724,9927,10386
725,9927,10386
726,10718,10718
727,10718,10718
728,10718,10718
729,10718,10718
730,10718,10718
731,10718,10718
732,10718,10718
733,10718,10718
734,10718,10718
735,10718,10718
736,10718,10718
737,10718,10718
738,10718,10718
739,10718,10718
740,10718,10718
741,10718,10718
742,10718,10718
743,10274,10718
744,10274,10718
745,10274,10718
746,10274,10718
747,10274,10718
748,10274,10718
749,10142,10718
750,10142,10718
751,10142,10718
752,11053,11053
753,10623,11053
754,10623,11053
755,10296,11053
756,10296,11053
757,10865,11053
758,10865,11053
759,11474,11474
760,11474,11474
761,11142,11474
762,11142,11474
763,11142,11474
764,11142,11474
765,11142,11474
766,11142,11474
767,11142,11474
768,11567,11567
769,11567,11567
770,11567,11567
771,11567,11567
772,11567,11567
773,11093,11567
774,11093,11567
775,11093,11567
776,11093,11567
777,11093,11567
778,11093,11567
779,11093,11567
780,11093,11567
781,11093,11567
782,11093,11567
783,11093,11567
784,11093,11567
785,11093,11567
786,11093,11567
787,11093,11567
788,11093,11567
789,11093,11567
790,11093,11567
791,11093,11567
792,11093,11567
793,11482,11567
794,11482,11567
795,11482,11567
796,11482,11567
797,11482,11567
798,11482,11567
799,12206,12206
800,12206,12206
801,12206,12206
802,12206,12206
803,12206,12206
804,12206,12206
805,12206,12206
806,12206,12206
807,12206,12206
808,12206,12206
809,12206,12206
810,12206,12206
811,12206,12206
812,12206,12206
813,12206,12206
814,12206,12206
815,12976,12976
816,12976,12976
817,12976,12976
818,12976,12976
819,12976,12976
820,12976,12976
821,12976,12976
822,12976,12976
823,12976,12976
824,12976,12976
825,12976,12976
826,12976,12976
827,12797,12976
828,13728,13728
829,13728,13728
830,13728,13728
831,13728,13728
832,13728,13728
833,13728,13728
834,13728,13728
835,13728,13728
836,13728,13728
837,13728,13728
838,13728,13728
839,13728,13728
840,13728,13728
841,13728,13728
842,13728,13728
843,13728,13728
844,13728,13728
845,13728,13728
846,13728,13728
847,13728,13728
848,13728,13728
849,13783,13783
850,13788,13788
851,13788,13788
852,13788,13788
853,13788,13788
854,13788,13788
855,13788,13788
856,13788,13788
857,13788,13788
858,13788,13788
859,13788,13788
860,13788,13788
861,13788,13788
862,13788,13788
863,13788,13788
864,13788,13788
865,13788,13788
866,13788,13788
867,13788,13788
868,13788,13788
869,13788,13788
870,13788,13788
871,13788,13788
872,13788,13788
873,13788,13788
874,13788,13788
875,13788,13788
876,13788,13788
877,13788,13788
878,13788,13788
879,13788,13788
880,13788,13788
881,13788,13788
882,13788,13788
883,13788,13788
884,13788,13788
885,13788,13788
886,13788,13788
887,13788,13788
888,13788,13788
889,13788,13788
890,13788,13788
891,13788,13788
892,13788,13788
893,13788,13788
894,13788,13788
895,13788,13788
896,13788,13788
897,13969,13969
898,13969,13969
899,13969,13969
900,13969,13969
901,13969,13969
902,13969,13969
903,13969,13969
904,13969,13969
905,13969,13969
906,13969,13969
907,13969,13969
908,13969,13969
909,13844,13969
910,14413,14413
911,14413,14413
912,14413,14413
913,14413,14413
914,14413,14413
915,14413,14413
916,14413,14413
917,14413,14413
918,14413,14413
919,14413,14413
920,14413,14413
921,14413,14413
922,14413,14413
923,14413,14413
924,14413,14413
925,14413,14413
926,14413,14413
927,14413,14413
928,14413,14413
929,14413,14413
930,14413,14413
931,14413,14413
932,14413,14413
933,14413,14413
934,14413,14413
935,14413,14413
936,14413,14413
937,14413,14413
938,14413,14413
939,14413,14413
940,14413,14413
941,14413,14413
942,14413,14413
943,14413,14413
944,14413,14413
945,14413,14413
946,14413,14413
947,14413,14413
948,14413,14413
949,14413,14413
950,14413,14413
951,14413,14413
952,14413,14413
953,14413,14413
954,14413,14413
955,14413,14413
956,14413,14413
957,14413,14413
958,14413,14413
959,14413,14413
960,14413,14413
